data_structure,N,runs,cycles,instructions,ipc,cache_misses,branches,branch_misses,L1_misses,TLB_misses
Array,1000,1000000,5375036871,7024602825,1.31,377216,1004817704,1126600,648994,7005
Array,10000,1000000,55119356716,70489407041,1.28,6453614,10063001897,2413971,633885051,130317
Array,100000,1000000,545678230384,702017561148,1.29,79865326,100470203434,9886038,6328696907,805971
Array,1000000,10000,55384136988,70670247281,1.28,315098673,10154205715,5589470,636097859,828004
Array,10000000,1000,60319100371,75161936361,1.25,1004182013,11307541990,59212216,664336320,10054421
LinkedList,1000,1000000,5049216975,7047405003,1.40,1604531,1009604691,1220063,40164871,15379
LinkedList,10000,1000000,63480663423,70295883258,1.11,6950643,10055837077,2196821,5009930158,103011
LinkedList,100000,1000000,680937937655,702798977250,1.03,2567620026,100568549842,12188303,50115925864,8240115
LinkedList,1000000,10000,89560240280,70769713514,0.79,6132828261,10154818413,1844302,5028368655,79295824
LinkedList,10000000,1000,89683255787,73675186577,0.82,6501249714,10784139043,1943817,5039716917,79370564
AoS,1000,1000000,5413923863,7050949469,1.30,1625290,1009935770,1239736,19359082,18821
AoS,10000,1000000,54926919681,70240372967,1.28,5453652,10047979950,2029599,3760191453,80291
AoS,100000,1000000,552852136168,702229019923,1.27,820942512,100403367170,9493372,37580448698,4344141
AoS,1000000,10000,63593981415,70480882208,1.11,3858267033,10074953778,1561890,3768473557,59361100
AoS,10000000,1000,63966646863,70768483677,1.11,4160481930,10129589526,1341119,3774550913,59390583
SoA,1000,1000000,5391977085,7049640656,1.31,1346557,1010109235,1270810,1407798,25279
SoA,10000,1000000,54379212166,70235730533,1.29,5512972,10047341000,1971995,634309620,84412
SoA,100000,1000000,555095524729,703331915183,1.27,179664840,100586173601,15480066,6355373950,1848800
SoA,1000000,10000,56441221111,70238359925,1.24,814017105,10085852682,1808425,639787515,2344073
SoA,10000000,1000,56610144527,70797174912,1.25,1013867962,10138287946,1984007,644534225,10098096
BST,1000,1000000,5345389452,7036039349,1.32,646004,1007768764,1140447,822111,11949
BST,10000,1000000,54467251348,70270009650,1.29,9773657,10051924917,2262657,632240896,124486
BST,100000,1000000,577414148421,708025368140,1.23,1428727694,101495723127,43134387,6492537063,7968505
BST,1000000,10000,57018462798,70356575055,1.23,381317618,10058024080,957673,630976775,897729
BST,10000000,1000,57484509856,70258895858,1.22,987299404,10046808778,716119,632386006,9897373
Vector,1000,1000000,5363298732,7028433631,1.31,846741,1006770187,1135852,745129,9908
Vector,10000,1000000,54383330619,70159016443,1.29,5163629,10031977757,1641638,628673578,46181
Vector,100000,1000000,545008127472,701320200502,1.29,52270607,100253640500,5989341,6296179499,579310
Vector,1000000,10000,58427957422,70312603371,1.20,595887556,10083071225,1550203,635334268,1896167
Vector,10000000,1000,58865761573,70587256531,1.20,1003527680,10080110900,1484631,635394668,10021709
Deque,1000,1000000,4986946008,13043234381,2.62,1347245,1009535623,1179571,1060947,17099
Deque,10000,1000000,46211811030,130191934988,2.82,7806120,10051020150,1913152,627333578,93552
Deque,100000,1000000,462219569704,1301209259278,2.82,109609366,100393917670,9251486,6384842373,1003958
Deque,1000000,10000,46068025043,130181554322,2.83,367915342,10028418140,642802,637234886,820858
Deque,10000000,1000,47913326130,130427045806,2.72,1003176415,10055163939,676877,641076966,10033460
Heap,1000,1000000,5348522496,7035826761,1.32,862921,1006606266,1130378,748084,8729
Heap,10000,1000000,54374721673,70159337612,1.29,4218485,10031898452,1709031,631661327,67887
Heap,100000,1000000,545051433672,701329722092,1.29,52485606,100248526148,6007128,6295247479,552575
Heap,1000000,10000,55820839714,70187792299,1.26,387781669,10040308068,976011,630660671,809399
Heap,10000000,1000,57815330842,70605957779,1.22,990079825,10115866475,3336976,634250629,9940720
HashMap,1000,1000000,7463754933,16326548518,2.19,1332147,4096494621,30879718,17011677,14097
HashMap,10000,1000000,110508384887,236902966667,2.14,18833316,65484830688,177654785,6172556437,262250
HashMap,100000,1000000,1161573264979,1978816699788,1.70,6221232515,525149995747,7441169314,49240076387,13654870
HashMap,1000000,10000,81850819367,166124126857,2.03,4764951049,41988279266,50520118,3950769974,62718170
HashMap,10000000,1000,150685214177,242663480011,1.61,8889074495,67366811073,622970813,6348679623,106834567
RBTree,1000,1000000,4763150520,10111673399,2.12,490764,2021757951,2584194,36748983,7255
RBTree,10000,1000000,133546586695,103431830830,0.77,3561966,20570184525,105103877,17927577857,85363
RBTree,100000,1000000,2538315579813,1297932086407,0.51,17167343638,235186481977,1121483256,164523144884,61696734
RBTree,1000000,10000,1099110663376,136163381175,0.12,55525612442,25101544060,361834447,29499235147,10107843283
RBTree,10000000,1000,940449381517,137797688369,0.15,58943443109,25118365311,243440066,30036688726,10110134081
BTree,1000,1000000,5400357897,8278320276,1.53,350164,1254384492,1073224,16792128,5153
BTree,10000,1000000,54611151877,82646571961,1.51,3575072,12529678334,1699002,4136010504,63478
BTree,100000,1000000,555583042736,826341352972,1.49,464726337,125273706603,6727959,41259784395,3825298
BTree,1000000,10000,70907649907,82760635753,1.17,4575737019,12550511320,756855,4099514720,66413220
BTree,10000000,1000,72040488857,83298024704,1.16,5044935019,12643904021,988752,4095830392,66494991
CircularBuffer,1000,1000000,18563965928,22028810042,1.19,796423,2013240693,1195732,1386537,13338
CircularBuffer,10000,1000000,181886566514,220450012025,1.21,6750759,20089492799,2569018,1268379368,112241
CircularBuffer,100000,1000000,1901207057086,2208603147778,1.16,879904247,201765611870,42241634,12761717269,6747911
CircularBuffer,1000000,10000,199255940905,221145619361,1.11,1625001770,20279558065,6690008,1288415180,6270393
CircularBuffer,10000000,1000,197089331400,221264339761,1.12,2044626158,20273185187,4568678,1281978786,20161048
SkipList,1000,1000000,22936504446,7129982647,0.31,4175213,1023214928,1583569,1106533863,49445
SkipList,10000,1000000,523232394416,72115351368,0.14,503094515,10387185319,9265129,10098108184,1213689
