data_structure,N,runs,cycles,instructions,ipc,cache_misses,branches,branch_misses,L1_misses,TLB_misses
Array,1000,300,2808065,2554184,0.91,39279,526856,8693,13996,50
Array,10000,300,20052979,24166745,1.21,67616,4107695,40236,217305,227
Array,100000,300,193091869,249475661,1.29,193262,40055794,369008,2115922,866
Array,1000000,30,459527090,644678370,1.40,2889902,140383826,4392793,4283658,7351
Array,10000000,3,3993476395,5151496767,1.29,25838373,1291313105,59384252,32476203,190346
LinkedList,1000,300,2851521,2939067,1.03,24362,529845,7249,101591,<notcounted>
LinkedList,10000,300,23726287,25440427,1.07,90213,4067694,12022,1554398,825
LinkedList,100000,300,280530268,244291937,0.87,11799500,36503568,26931,15114271,35110
LinkedList,1000000,30,410681932,541156335,1.32,21387187,99147014,45818,16227071,258087
LinkedList,10000000,3,1802156176,3472631660,1.93,35274220,734506335,407917,28638102,428751
AoS,1000,300,2662710,2976253,1.12,24338,466553,6681,7809,<notcounted>
AoS,10000,300,18468999,22523968,1.22,66164,3263063,10380,1188259,236
AoS,100000,300,195950506,220216933,1.12,1789624,32689903,24815,10975679,14055
AoS,1000000,30,253836432,277192337,1.09,13863880,37334810,47359,11479960,191176
AoS,10000000,3,546259501,698419187,1.28,19221734,102312197,131495,15501768,236844
SoA,1000,300,3171840,3328836,1.05,33814,482226,7708,12509,<notcounted>
SoA,10000,300,20610219,23113561,1.12,85205,3123483,11980,216625,870
SoA,100000,300,191033805,216093045,1.13,718644,33703455,28800,1997841,3340
SoA,1000000,30,221903032,276545890,1.25,3789456,37526103,42054,2494574,25222
SoA,10000000,3,527943286,640353812,1.21,8973635,102413919,120419,7974612,99506
BST,1000,300,2496878,2932938,1.17,16524,460602,6438,4231,<notcounted>
BST,10000,300,19921978,21319466,1.07,34034,3128114,10587,212269,358
BST,100000,300,190298159,206027024,1.08,1450144,31494486,30022,2085736,10247
BST,1000000,30,200366863,219396089,1.09,3162878,34035403,25221,2125347,28657
BST,10000000,3,248802609,330238431,1.33,4234282,50448412,49232,2715420,48171
Vector,1000,300,2859132,2838664,0.99,31627,470432,7069,12231,<notcounted>
Vector,10000,300,17761963,22152467,1.25,39572,3209583,9976,206594,281
Vector,100000,300,172336969,213384993,1.24,776477,30780423,24635,1988521,8646
Vector,1000000,30,181610401,227866880,1.25,3103562,33756508,20504,2089173,23213
Vector,10000000,3,280829591,379195200,1.35,4999506,60519822,38000,3372127,56509
Deque,1000,300,2410930,4807176,1.99,26767,471778,6727,3312,<notcounted>
Deque,10000,300,15088958,39959447,2.65,46056,3169494,10155,200128,88
Deque,100000,300,147186957,395960448,2.69,465095,30647340,18746,1973952,2274
Deque,1000000,30,152444845,414933623,2.72,3060415,33514624,19832,2172980,12190
Deque,10000000,3,256310280,679124458,2.65,6199126,59448135,34234,4010500,58444
Heap,1000,300,2645582,2972523,1.12,18286,467769,7166,2860,<notcounted>
Heap,10000,300,17961574,22267088,1.24,49048,3273115,15885,206346,542
Heap,100000,300,170806063,216732040,1.27,677440,31296638,62045,1974118,8403
Heap,1000000,30,200908885,255714169,1.27,3195664,39010381,289984,2171027,13020
Heap,10000000,3,465156726,665972220,1.43,6265446,114528127,2589561,4189578,67457
HashMap,1000,300,2756909,4788121,1.74,26512,1397348,16494,13791,<notcounted>
HashMap,10000,300,42112891,72042925,1.71,123901,20499054,96340,1890595,1068
HashMap,100000,300,419937902,604894329,1.44,17605429,159646306,2279126,15049554,47464
HashMap,1000000,30,335342309,555002842,1.66,18837017,137981939,241180,14243072,863258
HashMap,10000000,3,1635769164,1675075694,1.02,70572556,369902099,2272034,51604392,7791014
RBTree,1000,300,2380032,3973884,1.67,25917,878064,11400,26425,<notcounted>
