data_structure,N,runs,cycles,instructions,ipc,cache_misses,branches,branch_misses,L1_misses,TLB_misses
Array,964,285,1074984,1925614,1.79,0,275406,319,53,0
Array,2492,295,1636040,4507267,2.75,401,735827,334,346,0
Array,4550,322,2997807,6005888,2.00,1015,1026379,318,1557,7
Array,7073,296,5573594,9779166,1.75,1704,1402146,261,13023,10
Array,10889,278,8302516,14344261,1.73,7444,2010106,299,151421,22
Array,26642,318,25510603,43155242,1.69,23922,6254708,283,375005,113
Array,47976,322,45385309,76796420,1.69,79019,11427129,402,687821,507
Array,69576,284,61782904,99751981,1.61,109927,14156771,310,873951,699
Array,100508,318,96923927,157568887,1.63,369670,23171428,314,1439002,1501
Array,245191,310,236367820,380177120,1.61,1540267,54213168,540,3402891,10117
Array,467095,301,446595884,699846894,1.57,9310608,100822062,766,6310232,49713
Array,678922,318,675920231,1076335210,1.59,12229886,154441414,1054,9682480,82874
Array,912032,315,906085420,1434468486,1.58,18687967,205238942,608,12879314,143662
Array,2271175,33,237667044,375784930,1.58,5298154,53709621,214,3345249,41586
Array,4518342,34,491890426,766712424,1.56,10852531,110024787,385,6885094,85311
Array,6761270,28,602712536,945926037,1.57,13486757,135577930,550,8474382,105315
Array,10000000,3,94646558,149577810,1.58,2135582,21370733,82,1352922,16764
LinkedList,964,300,618463,1648560,2.67,57,289897,352,104620,0
LinkedList,2492,312,6451217,3545057,0.55,6664,513338,310,677715,35
LinkedList,4550,315,23395394,7285010,0.31,8680,1048987,358,1117494,120
LinkedList,7073,323,41937845,11149087,0.27,12974,1585748,420,1977291,364
LinkedList,10889,274,70254308,15146328,0.22,39395,2161807,499,2360107,818
LinkedList,26642,297,216698339,39890074,0.18,455244,5639058,392,6128311,7165
LinkedList,47976,311,475144961,74645297,0.16,2043630,10590512,411,11294179,32306
LinkedList,69576,277,797626294,96469463,0.12,6756395,13918361,452,14410688,127018
LinkedList,100508,286,2198427161,143273864,0.07,39421369,20516824,1073,22214590,650914
LinkedList,245191,274,6204967891,335728190,0.05,154444571,47991003,1187,70320850,10612132
LinkedList,467095,286,13863850266,667822404,0.05,435455476,95481708,2924,197065467,47310967
LinkedList,678922,319,24719013132,1082509500,0.04,820291293,154772680,5839,359577226,91978489
LinkedList,912032,299,32065667912,1363387254,0.04,1055484689,194826085,3140,478025790,124618130
LinkedList,2271175,25,7796238056,284008560,0.04,258622221,40554261,1803,112597130,30007298
LinkedList,4518342,34,21637748375,767580117,0.04,729508830,109792134,3899,315872367,84396192
LinkedList,6761270,28,27052785449,945765819,0.03,930479993,135322115,5280,394245493,105338783
LinkedList,10000000,2,2982528008,99935044,0.03,102039055,14299303,384,42101515,11228990
AoS,964,291,1273273,1966145,1.54,15,281202,326,2647,0
AoS,2492,322,236028,2691566,11.40,198,803166,353,190576,2
AoS,4550,319,2115149,5685624,2.69,3343,1452186,445,260439,3
AoS,7073,322,6796775,11147579,1.64,3442,1589329,259,430255,60
AoS,10889,326,8444410,15525479,1.84,3988,2637347,309,728750,89
AoS,26642,279,23835489,37804140,1.59,45873,5377688,276,1282880,449
AoS,47976,281,42463109,67546947,1.59,137192,9825572,255,2347651,1143
AoS,69576,313,65958059,107325951,1.63,270878,15765421,311,3942621,3047
AoS,100508,311,99678296,156526143,1.57,1608557,22604034,375,5570635,7467
AoS,245191,312,256635623,379634967,1.48,11465826,54850434,571,13747536,46930
AoS,467095,325,523600571,756623561,1.45,32269146,108538074,749,27271096,326630
AoS,678922,286,662771696,970031777,1.46,44391806,138978092,794,34782698,431447
AoS,912032,296,974978076,1349799613,1.38,64945947,192984920,477,48349344,600467
AoS,2271175,29,223886913,330670320,1.48,16169959,47173232,71,11738969,146111
AoS,4518342,28,431901653,630952044,1.46,30597236,90327739,310,22754270,282196
AoS,6761270,31,710658091,1047436973,1.47,51395568,149840689,124,37543440,466995
AoS,10000000,3,99670138,148603512,1.49,7272999,21643150,77,5408827,65733
SoA,964,273,155367,1844554,11.87,237,263814,308,120,0
SoA,2492,329,858047,3592438,4.19,15,820623,363,267,0
SoA,4550,322,2207426,5358223,2.43,256,1102262,340,6531,9
SoA,7073,326,7014646,11583428,1.65,1107,1637134,276,3900,15
SoA,10889,302,7334105,14164812,1.93,4851,2639868,297,160974,25
SoA,26642,303,25237796,41457970,1.64,15028,5910091,278,349343,108
SoA,47976,275,40619620,65709125,1.62,72597,9385698,327,592810,458
SoA,69576,289,61553795,101389527,1.65,83336,14611482,279,891765,701
SoA,100508,328,102298487,165132462,1.61,103355,23502927,297,1473138,1788
SoA,245191,271,209964803,332472411,1.58,1194240,47400258,344,2960111,3653
SoA,467095,326,478637888,761026002,1.59,4683023,109132260,436,6810058,19056
SoA,678922,316,673191765,1071355023,1.59,9900491,153126459,501,9625238,72094
SoA,912032,309,887088750,1408776734,1.59,17349351,201518715,498,12620318,138900
SoA,2271175,31,221985951,352561588,1.59,4953259,50501011,168,3150550,39011
SoA,4518342,25,357822875,564168504,1.58,8035820,80635511,291,5067869,63095
SoA,6761270,25,534677006,843345280,1.58,12044948,120523840,61,7600190,94626
SoA,10000000,2,62874749,101010697,1.61,1443803,14428506,83,893334,10874
BST,964,327,1451077,3310010,2.28,11,647555,875,0,0
BST,2492,301,617396,3371934,5.46,2919,1520148,3556,1281208,23
BST,4550,275,5338936,8364911,1.57,3873,1630180,5462,2087005,39
BST,7073,274,9866405,12955778,1.31,6400,3044585,7557,2727508,173
BST,10889,285,23826930,21984252,0.92,35935,4576764,17275,3987482,348
BST,26642,280,79108429,55203145,0.70,84932,10944157,40239,8678869,2940
BST,47976,276,153034059,97436440,0.64,430582,19359603,103220,15291612,10240
BST,69576,317,269950585,163519289,0.61,1864739,32991337,143280,25838416,29759
BST,100508,277,368496725,221249174,0.60,6967357,42605184,115440,32349883,56600
BST,245191,323,3111929155,767568523,0.25,266568886,131005086,592579,131061803,27403208
BST,467095,299,7597695530,1299293041,0.17,573751046,223676009,1065495,283474901,80167054
