data_structure,N,runs,median_cycles,median_instructions,ipc,median_cache_misses,median_branches,median_branch_misses,median_l1_misses,median_tlb_misses,cv_pct,stddev_cycles,ci95_cycles
Array,1000,1000,7029,7456,1.06,2,1101,11,21,0,49.0,3191,198
Array,1008,1000,6540,7512,1.15,1,1109,11,17,0,71.3,3496,217
Array,1012,1000,6928,7540,1.09,4,1113,12,14,0,57.6,3454,214
Array,1019,1000,6620,7589,1.15,2,1120,12,17,0,74.9,3690,229
Array,1024,1000,7130,7624,1.07,4,1125,11,19,0,58.2,3529,219
Array,1030,1000,6889,7666,1.11,2,1131,11,16,0,61.9,3482,216
Array,1035,1000,6931,7701,1.11,2,1136,12,17,0,75.4,4074,253
Array,1040,1000,7150,7736,1.08,4,1141,12,20,0,64.2,3846,238
Array,1049,1000,6838,7799,1.14,2,1150,11,12,0,77.8,4231,262
Array,1054,1000,7201,7834,1.09,2,1155,11,22,0,62.9,3609,224
Array,1058,1000,6899,7862,1.14,2,1159,12,21,0,61.2,3281,203
Array,1066,1000,6956,7918,1.14,1,1167,12,14,0,61.4,3340,207
Array,1072,1000,7384,7960,1.08,4,1173,11,16,0,56.8,3719,231
Array,1076,1000,7071,7988,1.13,2,1177,11,18,0,52.0,3234,200
Array,1086,1000,7211,8058,1.12,2,1187,11,15,0,67.6,3695,229
Array,1092,1000,7171,8100,1.13,1,1193,11,20,0,58.2,3571,221
Array,1096,1000,7045,8128,1.15,2,1197,11,24,0,66.2,3683,228
Array,1103,1000,7462,8177,1.10,4,1204,11,17,0,68.6,3962,246
Array,1108,1000,7251,8212,1.13,3,1209,12,12,0,59.5,3674,228
Array,1113,1000,7143,8247,1.15,2,1214,11,17,0,59.9,3403,211
Array,1119,1000,7392,8289,1.12,7,1220,12,19,0,63.6,3888,241
Array,1127,1000,7201,8345,1.16,1,1228,12,15,0,78.1,4300,267
Array,1132,1000,7240,8380,1.16,2,1233,12,15,0,75.2,4045,251
Array,1136,1000,7343,8408,1.15,6,1237,11,16,0,71.9,3863,239
Array,1144,1000,1821,8464,4.65,7,1245,11,18,0,87.5,4586,284
Array,1149,1000,7754,8499,1.10,4,1250,11,21,0,62.0,3962,246
Array,1155,1000,7671,8541,1.11,7,1256,12,18,0,73.4,4378,271
Array,1163,1000,7807,8597,1.10,1,1264,12,16,0,57.0,3606,223
Array,1168,1000,7864,8632,1.10,3,1269,12,21,0,63.4,4132,256
Array,1175,1000,7452,8681,1.16,3,1276,11,13,0,73.1,3902,242
Array,1180,1000,7630,8716,1.14,3,1281,10,21,0,55.2,3619,224
Array,1184,1000,7793,8744,1.12,9,1285,12,21,0,75.7,4556,282
Array,1194,1000,7846,8814,1.12,12,1295,12,19,0,71.1,4373,271
Array,1197,1000,7652,8835,1.15,6,1298,11,20,0,68.7,3820,237
Array,1205,1000,7923,8891,1.12,6,1306,12,26,0,70.9,4024,249
Array,1211,1000,8129,8933,1.10,6,1312,12,31,0,60.2,3869,240
Array,1218,1000,8071,8982,1.11,4,1319,13,17,0,59.2,3711,230
Array,1222,1000,8188,9010,1.10,8,1323,11,22,0,57.5,3813,236
Array,1226,1000,8152,9038,1.11,6,1327,11,29,0,69.2,4209,261
Array,1234,1000,7847,9094,1.16,4,1335,12,18,0,74.6,3960,245
Array,1242,1000,8128,9150,1.13,4,1343,11,15,0,57.4,3841,238
Array,1244,1000,8022,9164,1.14,5,1345,12,31,0,70.8,3894,241
Array,1252,1000,7981,9220,1.16,6,1353,12,37,0,79.2,4364,270
Array,1258,1000,8446,9262,1.10,7,1359,12,19,0,54.1,3806,236
Array,1264,1000,8229,9304,1.13,8,1365,12,31,0,66.3,3968,246
Array,1268,1000,8583,9332,1.09,3,1369,12,45,0,56.4,3859,239
Array,1274,1000,8133,9374,1.15,4,1375,12,23,0,66.3,4246,263
Array,1281,1000,8300,9423,1.14,4,1382,11,19,0,68.8,4257,264
Array,1290,1000,8732,9486,1.09,6,1391,12,20,0,44.8,3526,219
