DataStructure,N,runs,med_cyc,avg_cyc,med_ins,avg_ins,ipc,med_cm,avg_cm,med_br,avg_br,med_brm,avg_brm,med_l1,avg_l1,med_tlb,avg_tlb,cv_pct,stddev_cycles,ci95_cycles
SkipList,1004,50,14692,15269,7484,7484,0.51,6,16,1105,1105,12,12,1017,1017,0,0,11.4,1737,482
AoS,1014,50,6820,6896,7555,7555,1.11,0,2,1115,1115,12,12,77,81,0,0,3.5,240,66
Trie,1004,50,557380,349004,258933,205567,0.46,323,805,75554,68852,14327,12826,13887,12398,0,0,84.0,293076,81236
LinkedList,1015,50,10550,10602,7559,7559,0.72,0,1,1116,1116,11,11,438,440,0,0,4.2,440,122
CircularBuffer,1000,50,6764,6784,325,1179,0.05,0,1,1101,1101,11,11,3,4,0,0,3.5,235,65
SoA,1004,50,6886,6888,7485,7485,1.09,0,0,1105,1105,11,11,0,2,0,0,2.8,190,53
HashMap,1000,50,1515,1885,14165,14165,9.35,0,2,3101,3101,17,26,695,697,0,0,123.5,2329,646
Heap,1005,50,3887,3971,7492,7492,1.93,0,0,1106,1106,12,12,10,11,0,0,74.5,2959,820
Deque,1003,50,5921,5919,11624,11624,1.96,0,0,2150,2150,13,13,6,7,0,0,2.6,156,43
BST,1014,50,6251,6358,11088,11088,1.77,0,0,2185,2185,17,20,490,491,0,0,7.8,498,138
Array,1010,50,1056,1185,7527,7527,7.13,0,1,1111,1111,13,13,6,11,0,0,71.7,849,235
SlabList,1000,50,1519,3922,7628,7628,5.02,0,2,1126,1126,11,11,13,33,0,0,75.9,2979,826
RBTree,1000,50,7544,7633,10948,10948,1.45,0,0,2157,2157,15,16,1270,1269,0,0,6.9,529,147
Vector,1011,50,6626,6566,7534,7534,1.14,0,1,1112,1112,13,13,9,10,0,0,2.2,145,40
vEBTree,1015,50,1057,2815,7562,7562,7.15,0,1,1116,1116,13,13,7,8,0,0,92.6,2606,722
BTree,1001,50,6182,6457,15513,15513,2.51,0,1,2729,2729,15,29,962,966,0,0,29.8,1921,533
Deque,1027,50,8994,9111,17897,17897,1.99,0,0,4199,4199,14,15,7,10,0,0,7.9,719,199
SlabList,1042,50,1056,3046,14803,14513,14.02,0,0,2151,2151,14,15,18,22,0,0,140.7,4285,1188
CircularBuffer,1026,50,6592,6610,7639,7639,1.16,0,0,1127,1127,5,6,10,12,0,0,2.8,185,51
AoS,1035,50,6791,6801,325,471,0.05,0,1,1136,1136,12,12,80,87,0,0,1.9,128,35
Vector,1031,50,6539,6568,7674,7674,1.17,0,0,1132,1000,13,13,6,8,0,0,2.9,189,52
RBTree,1028,50,7413,4876,11231,11231,1.52,0,0,2215,2215,16,19,1337,1341,0,0,68.5,3338,925
Heap,1041,50,1027,2857,7744,7744,7.54,0,0,1142,1142,12,12,6,8,0,0,94.6,2703,749
BTree,1015,50,6245,6641,15653,15653,2.51,0,1,2757,2757,13,25,0,156,0,0,21.2,1411,391
HashMap,1026,50,6388,6727,14691,14691,2.30,0,0,39,227,13,22,694,697,0,0,19.1,1283,356
BST,1025,50,6433,6700,11198,11198,1.74,0,0,2207,2207,14,17,516,530,0,0,13.8,926,257
Array,1034,50,6418,3957,7695,7695,1.20,0,1,1135,1135,11,11,8,9,0,0,71.8,2842,788
SkipList,1020,50,15723,11327,7596,7596,0.48,0,1,1121,1121,11,11,1032,1032,0,0,61.1,6916,1917
LinkedList,1016,50,10968,11030,7566,7566,0.69,0,1,1117,1117,14,14,435,438,0,0,5.0,552,153
Trie,1016,50,553892,387706,261884,231432,0.47,0,3,76399,67177,14387,12777,14045,12344,0,0,66.1,256463,71088
SoA,1032,50,6576,6630,7681,7681,1.17,0,0,1133,1133,12,13,5,8,0,0,4.4,294,81
vEBTree,1015,50,1038,1815,7562,7473,7.29,0,0,1116,1116,11,11,4,7,0,0,106.6,1936,537
AoS,1050,50,7265,7252,7807,7807,1.07,0,1,1151,1151,13,13,84,90,0,0,1.7,124,34
BTree,1061,50,1431,1952,16181,15230,11.31,0,0,2857,2857,15,29,985,986,0,0,128.9,2516,697
HashMap,1051,50,6609,5978,15036,15036,2.28,0,0,3254,3254,10,19,758,762,0,0,41.2,2463,683
Vector,1064,50,7264,7258,7905,7905,1.09,0,0,1165,1165,13,13,11,13,0,0,2.6,192,53
BST,1075,50,1458,2584,11704,11704,8.03,0,0,2311,2311,16,20,703,704,0,0,96.9,2505,694
SlabList,1069,50,12373,12367,14803,14803,1.20,0,1,2151,2151,14,14,17,24,0,0,2.0,242,67
vEBTree,1060,50,7141,7132,7877,7877,1.10,0,0,1161,1161,5,9,6,10,0,0,2.9,207,57
RBTree,1056,50,8048,8315,11511,11511,1.43,0,0,2271,2271,17,20,1428,1429,0,0,10.2,850,236
LinkedList,1072,50,12080,12132,7958,7958,0.66,0,1,1173,1173,12,12,515,516,0,0,3.6,438,121
SoA,1064,50,1470,2068,7905,7905,5.38,0,0,1165,1165,12,12,7,9,0,0,91.3,1889,524
Deque,1062,50,9405,9395,18072,18072,1.92,0,0,4199,4199,15,16,7,8,0,0,1.8,167,46
SkipList,1049,50,14492,14638,7799,7799,0.54,0,0,1150,1150,11,11,1066,1065,0,0,4.1,605,168
CircularBuffer,1074,50,7297,7270,7975,7975,1.09,0,0,1175,1175,12,12,7,8,0,0,2.7,193,54
Trie,1051,50,576673,373073,270353,225967,0.47,1,148,78857,69897,14957,13340,14496,12768,0,0,74.6,278253,77128
Array,1064,50,7172,7178,7905,7905,1.10,0,0,1165,1165,12,12,5,7,0,0,2.7,197,55
Heap,1072,50,7253,7260,7961,7961,1.10,0,0,1173,1173,13,13,14,17,0,0,2.4,174,48
LinkedList,1099,50,12460,12680,8147,8147,0.65,0,1,1200,1200,12,12,523,528,0,0,7.7,976,271
SoA,1078,50,7253,7250,8003,8003,1.10,0,1,1179,1179,12,12,14,16,0,0,2.8,206,57
vEBTree,1101,50,4316,4389,8164,8164,1.89,0,0,1202,1202,12,12,5,6,0,0,69.3,3044,844
AoS,1094,50,7398,7415,8115,8115,1.10,0,0,1195,1195,12,12,90,94,0,0,2.1,152,42
CircularBuffer,1090,50,7258,6823,8087,8087,1.11,0,0,1191,1191,12,12,10,13,0,0,23.9,1629,452
Array,1095,50,7371,7384,8122,8122,1.10,0,0,1196,1196,12,12,7,9,0,0,2.8,208,58
SlabList,1090,50,12407,12409,14803,14803,1.19,0,0,2151,2151,13,13,27,28,0,0,1.7,208,58
BST,1093,50,7076,7255,11884,11884,1.68,0,0,2347,2347,15,18,749,757,0,0,11.4,828,229
RBTree,1087,50,1479,4104,11824,11824,7.99,0,0,2335,2335,15,20,1514,1512,0,0,87.8,3603,999
Trie,1090,50,595642,454099,279907,249588,0.47,0,5,81601,64063,15408,13795,15004,13386,0,0,55.5,252234,69916
BTree,1087,50,7048,7429,16495,16495,2.34,0,1,2917,2917,4,23,992,995,0,0,18.5,1372,380
Vector,1095,50,1063,1958,8122,8122,7.64,0,0,1196,1196,13,13,6,7,0,0,112.0,2193,608
Heap,1082,50,7074,7191,8031,8031,1.14,1,3,1183,1183,13,13,10,19,0,0,6.1,440,122
SkipList,1079,50,14461,14571,8009,8009,0.55,0,0,1180,1157,11,11,1094,1094,0,0,3.8,557,155
Deque,1097,50,9146,7261,18247,18247,2.00,0,1,4199,4199,15,16,17,18,0,0,48.4,3512,973
HashMap,1082,50,6478,6678,15486,15486,2.39,0,1,3347,3347,4,14,679,685,0,0,15.3,1021,283
vEBTree,1131,50,7166,6198,8374,8374,1.17,0,1,1232,1232,13,13,11,14,0,0,35.2,2181,605
SlabList,1108,50,12370,12402,14803,11616,1.20,0,0,2151,2151,14,14,20,22,0,0,1.7,208,58
SoA,1125,50,7317,7376,8332,8332,1.14,2,5,1226,1226,12,12,13,21,0,0,2.8,207,57
AoS,1134,50,7346,7365,8395,8395,1.14,0,1,1235,1235,12,12,114,121,0,0,1.9,139,38
LinkedList,1108,50,12350,12416,8210,8210,0.66,0,1,1209,1209,11,11,545,547,0,0,2.9,358,99
BTree,1131,50,6822,7171,16969,16969,2.49,0,1,3009,3009,11,25,0,345,0,0,17.3,1243,345
HashMap,1121,50,1507,2336,15972,15972,10.60,0,0,3464,3464,14,21,813,817,0,0,105.4,2463,683
Vector,1121,50,7428,7454,8304,8304,1.12,0,0,1222,1222,12,12,8,9,0,0,3.0,224,62
Deque,1123,50,9175,7984,18377,18377,2.00,0,0,4199,4199,14,15,15,18,0,0,39.2,3133,868
RBTree,1111,50,8147,8302,12064,12064,1.48,0,0,2383,2383,18,21,1586,1273,0,0,7.5,627,174
SkipList,1134,50,1509,6277,8394,8394,5.56,0,0,1235,1235,11,11,1150,1150,0,0,109.5,6873,1905
CircularBuffer,1119,50,1466,2113,8290,8290,5.65,0,0,1220,1220,12,12,9,10,0,0,96.2,2033,564
Heap,1123,50,1427,1841,8318,8318,5.83,0,0,1224,1224,12,12,12,17,0,0,90.6,1668,462
Trie,1125,50,614936,430992,288308,258712,0.47,0,10,84037,75310,15950,14363,15455,13822,0,0,64.5,277915,77034
Array,1111,50,7098,5248,8234,8234,1.16,2,4,1212,1212,12,12,13,20,0,0,57.4,3014,835
BST,1124,50,7007,7258,12194,12192,1.74,1,2,2409,2409,17,19,884,885,0,0,9.8,710,197
HashMap,1151,50,1081,3744,16028,16028,14.83,0,2,3554,3554,26,34,785,789,0,0,97.5,3651,1012
AoS,1155,50,7454,7461,8542,8542,1.15,0,0,1256,1256,12,12,123,129,0,0,2.0,150,42
LinkedList,1156,50,13599,13837,8546,8546,0.63,4,7,1257,1257,11,11,1,205,0,0,5.4,745,206
Array,1147,50,7691,7769,8486,8486,1.10,2,5,1248,1248,13,13,10,11,0,0,6.4,499,138
SoA,1143,50,7284,7280,8458,8458,1.16,0,1,1244,1244,13,13,7,10,0,0,5.9,426,118
RBTree,1163,50,1033,2356,12584,12584,12.18,0,0,2487,2487,17,20,1785,1784,0,0,131.3,3093,857
Vector,1152,50,7282,5842,8521,8521,1.17,0,1,1253,1253,11,11,13,16,0,0,46.8,2733,758
Heap,1146,50,7395,7331,8479,8479,1.15,0,0,1247,1247,13,13,7,9,0,0,2.5,182,50
SlabList,1147,50,12358,12553,14803,14803,1.20,2,6,2151,2151,15,15,32,34,0,0,5.2,654,181
Trie,1163,50,635955,385258,297580,236503,0.47,2,243,86712,78859,16619,15067,15944,14262,0,0,82.9,319411,88536
SkipList,1162,50,16290,16584,8590,8590,0.53,0,3,1263,1263,11,11,1179,1179,0,0,5.3,878,243
BTree,1139,50,6878,7271,17049,11031,2.48,0,1,3025,3025,14,25,1003,1006,0,0,17.3,1260,349
BST,1164,50,7440,7603,12594,12594,1.69,0,0,2489,2489,19,22,1022,1022,0,0,8.8,666,185
CircularBuffer,1152,50,1069,1338,8521,8521,7.97,2,5,1253,1253,12,12,10,28,0,0,76.2,1020,283
Deque,1143,50,1444,3794,18477,18477,12.80,0,1,4199,4199,14,15,19,24,0,0,105.5,4002,1109
vEBTree,1135,50,7661,7606,8402,8402,1.10,0,0,1236,1236,13,13,6,10,0,0,3.3,251,70
vEBTree,1189,50,1466,3502,8780,8780,5.99,0,1,1290,1290,12,12,20,23,0,0,90.0,3151,873
Heap,1177,50,1449,1772,8696,8026,6.00,0,0,1278,1278,12,12,8,16,0,0,88.3,1565,434
CircularBuffer,1173,50,7761,7798,8668,8668,1.12,0,1,1274,1274,12,12,15,19,0,0,3.5,273,76
LinkedList,1168,50,13770,13915,8630,8630,0.63,0,2,1269,1269,11,11,611,613,0,0,5.4,752,208
Trie,1178,50,653772,429690,301291,242772,0.46,142,448,87778,78973,16822,15214,16137,14601,0,3,78.7,338256,93760
SkipList,1168,50,16999,10414,8632,8632,0.51,0,1,1269,1269,12,12,1184,1184,0,0,77.6,8087,2242
SoA,1181,50,7863,7848,8724,8724,1.11,0,0,1282,1282,13,13,14,18,0,0,2.4,185,51
AoS,1176,50,1445,1507,8689,8689,6.01,0,0,1277,1277,12,12,124,132,0,0,62.6,944,262
HashMap,1176,50,9014,7197,15976,15976,1.77,0,1,3629,3629,47,53,939,940,0,0,53.2,3826,1061
Array,1170,50,7908,7837,8647,8647,1.09,0,1,1271,1271,13,13,8,12,0,0,2.6,202,56
Vector,1180,50,7827,7865,8717,8717,1.11,0,0,1281,1281,5,7,12,15,0,0,2.3,179,50
BTree,1168,50,7272,6271,17464,17464,2.40,0,1,3097,3097,17,31,1033,1033,0,0,49.8,3121,865
SlabList,1195,50,12260,12231,325,4957,0.03,0,1,2151,2151,16,16,30,31,0,0,1.9,235,65
Deque,1178,50,9275,9304,18652,18652,2.01,0,0,4199,4199,15,16,0,4,0,0,1.4,131,36
BST,1179,50,1061,2782,12744,12744,12.01,0,0,2519,2519,20,23,1072,1085,0,0,112.8,3140,870
RBTree,1172,50,8765,8942,12674,11191,1.45,0,0,2505,2505,23,26,1806,1808,0,0,7.9,706,196
Heap,1195,50,7594,7525,8822,8822,1.16,0,0,1296,1296,12,12,12,13,0,0,2.2,164,45
BST,1217,50,7855,8239,13124,13124,1.67,0,0,2595,2595,4,13,1206,1224,0,0,14.1,1159,321
Vector,1214,50,1046,2359,8955,8955,8.56,0,0,1315,1315,12,12,10,11,0,0,112.6,2657,737
RBTree,1216,50,9173,7690,13114,13114,1.43,0,0,2593,2593,19,22,1962,1960,0,0,44.1,3390,940
Trie,1211,50,662205,401400,309214,247920,0.47,0,9,90068,81164,17320,15599,16555,14904,0,0,79.8,320190,88752
SkipList,1208,50,16926,12144,8912,8912,0.53,0,0,1309,1309,11,11,1223,1223,0,0,62.4,7577,2100
SoA,1216,50,1026,1569,8969,8969,8.74,0,1,1317,1317,12,12,8,11,0,0,117.8,1849,512
AoS,1215,50,7748,7759,8962,8962,1.16,0,0,1316,1316,11,11,126,143,0,0,2.3,175,49
SlabList,1215,50,12123,12118,14803,14803,1.22,0,1,2151,2151,13,14,0,4,0,0,1.9,229,63
HashMap,1210,50,7130,4764,17265,17265,2.42,0,0,3731,3731,12,21,923,922,0,0,74.0,3527,978
LinkedList,1202,50,14096,14243,8868,8868,0.63,0,1,1303,1303,10,10,0,114,0,0,5.7,818,227
CircularBuffer,1210,50,7848,7852,8927,7377,1.14,0,0,1311,1311,11,11,10,11,0,0,3.7,287,79
Deque,1210,50,9765,9818,18812,18812,1.93,0,1,4199,4199,15,16,10,12,0,0,6.4,633,176
vEBTree,1221,50,8025,7984,9004,9004,1.12,0,1,1322,1322,13,13,16,18,0,0,2.7,219,61
Array,1198,50,8032,7948,8843,8843,1.10,0,1,1299,1299,13,13,6,5,0,0,2.7,213,59
BTree,1223,50,7339,7894,18133,18133,2.47,0,1,3221,3221,19,36,1066,1070,0,0,19.9,1569,435
CircularBuffer,1225,50,7734,7657,9032,9032,1.17,0,1,1326,1326,13,13,11,11,0,0,2.6,202,56
Deque,1246,50,9363,9385,18992,18992,2.03,0,1,4199,4199,14,15,13,9,0,0,1.5,139,38
SkipList,1229,50,1051,3986,9059,9059,8.62,0,0,1330,1330,12,12,1243,1244,0,0,158.5,6317,1751
LinkedList,1226,50,14521,14630,9036,7293,0.62,0,0,1327,1327,13,13,681,683,0,0,3.5,512,142
Vector,1239,50,7663,7668,9130,9130,1.19,0,0,1340,1340,11,11,13,14,0,0,2.8,212,59
HashMap,1243,50,7710,8123,17178,17178,2.23,0,0,3830,3830,26,38,901,901,0,0,23.4,1899,526
SlabList,1232,50,1038,2167,14803,13644,14.26,0,0,2151,2151,13,13,20,25,0,0,157.4,3412,946
BST,1240,50,8383,8544,13354,13354,1.59,2,4,2641,2641,20,23,1284,1285,0,0,6.8,584,162
BTree,1250,50,8152,8588,18420,18420,2.26,1,3,3277,3277,29,44,1074,1074,0,0,16.9,1450,402
Heap,1236,50,8148,8160,9109,9109,1.12,0,1,1337,1337,13,13,8,9,0,0,2.6,208,58
SoA,1249,50,8313,7201,9200,9200,1.11,0,1,1350,1350,12,12,12,14,0,0,35.4,2553,708
Array,1255,50,8398,8490,9242,9242,1.10,0,4,1356,1356,13,13,9,12,0,0,5.7,480,133
AoS,1235,50,8202,8214,9102,9102,1.11,0,0,1336,1336,13,13,140,152,0,0,1.9,154,43
vEBTree,1240,50,8136,8121,9137,9137,1.12,0,0,1341,1341,11,11,16,17,0,0,2.9,233,65
Trie,1230,50,674019,479571,313657,282947,0.47,0,4,91381,82302,17529,14074,16795,13381,0,0,63.1,302455,83836
RBTree,1245,50,10209,10348,13404,13404,1.31,0,0,2651,2651,21,24,2052,2053,0,0,6.3,649,180
Heap,1285,50,8382,8339,9452,9452,1.13,0,1,1386,1386,13,13,8,9,0,0,2.8,235,65
BST,1275,50,1482,2402,13704,13704,9.25,0,1,2711,2711,25,27,1400,1407,0,0,116.3,2795,775
Trie,1265,50,691864,376237,322162,264356,0.47,6,12,93838,84306,18113,16518,17246,15536,0,0,91.3,343682,95264
vEBTree,1270,50,1083,3309,9347,9347,8.63,0,2,1371,1371,12,12,19,20,0,0,103.4,3422,948
LinkedList,1273,50,19848,20474,9365,9365,0.47,30,36,1374,1374,4,7,742,750,0,0,15.7,3205,888
SoA,1255,50,8237,8239,9242,9242,1.12,0,1,1356,1356,13,13,13,14,0,0,2.6,213,59
Array,1256,50,8015,8007,9249,9249,1.15,0,0,1357,1357,13,13,10,18,0,0,2.0,162,45
SlabList,1260,50,12232,12177,14803,14803,1.21,0,0,2151,2151,15,15,25,27,0,0,1.4,168,47
CircularBuffer,1262,50,7983,7932,9291,9291,1.16,0,0,1363,1363,11,11,10,12,0,0,2.3,181,50
AoS,1279,50,1476,2938,9410,9410,6.38,0,1,1380,1380,13,13,159,162,0,0,100.9,2965,822
HashMap,1285,50,1509,2179,17743,16252,11.76,0,1,3956,3956,33,44,1121,1124,0,0,142.5,3106,861
Vector,1264,50,8116,7230,9305,9305,1.15,0,0,1365,1365,13,13,7,9,0,0,33.0,2384,661
Deque,1257,50,9761,9769,19047,19047,1.95,0,0,4199,4199,14,15,11,12,0,0,1.6,159,44
RBTree,1282,50,10274,10371,13774,13774,1.34,0,0,2725,2725,23,25,2176,2176,0,0,5.2,534,148
SkipList,1273,50,17443,17549,9367,9367,0.54,0,1,1374,1080,12,12,1287,1287,0,0,2.8,490,136
BTree,1266,50,7904,8478,18597,18597,2.35,0,1,3311,3311,22,41,1073,1078,0,0,17.7,1503,417
RBTree,1301,50,1493,3649,13964,13964,9.35,0,0,2763,2763,23,26,2253,2253,0,0,112.9,4119,1142
